name,adminpass,type,department,brand,gen,model,serial,warranty,dealer,date
TN/HD/04,001-57-0023,Harddisk,TN,Seagate,1 TB,SRD00F1,NA7880DR,1 Years,,7/17/57
TN/HD/05,001-57-0024,Harddisk,TN,Seagate,1 TB,SRD00F1,NA7880CX,1 Years,,7/17/57
PD/HD/06,001-57-0012,Harddisk,PD,WD Elements,1TB,WDBUZG0010BBK-PESN,WXJ1EA3LYMY2,,,10/15/57
PD/HD/07,001-57-0011,Harddisk,PD,WD Elements,1TB,WDBUZG0010BBK-PESN,WXJ1EA3JHNH3,,,10/15/57
BD/HD/08,,Harddisk,BD,Seagate,1TB,SRD00F1,NA78FN4E,3 Years,บมจ.ออฟฟิศเมท,10/17/57
BD/HD/09,,Harddisk,BD,Seagate,1TB,SRD00F1,NA78FN4B,3 Years,บมจ.ออฟฟิศเมท,10/17/57
PC/HD/10,,Harddisk,PC,Seagate,1TB,SRD00F1,NA791AX0,,,10/30/57
BD/HD/11,,Harddisk,BD,Seagate,1TB,SRD00F1,NA7NXPDV,1 Years,บมจ.ออฟฟิศเมท,3/16/59
innoHD22112018-001-3Y,,Harddisk,BSE,WD Passport,2TB,,WX31E380NS8N,3Y,ภัทรโปรเกส,11/22/21
innoHD27022019-002-3Y,,Harddisk,HR,WD Passport,2TB,,WX51AB8L40A0,3Y,ADVICE,2/27/22
innoHD27022019-001-3Y,,Harddisk,BSE,WD Passport,2TB,,WXE1E584MPH1,3Y,ADVICE,2/27/22
innoHD13032019-001-3Y,,SSD+BOX OKER,IT,Apacer,480 GB,AS350,141905222528,3Y,ADVICE,3/13/19
